gid,trip_id,unixtime,north_utm,east_utm,longitude,latitude
302711,818,1543401946,5804410.77494,550705.140855,9.74505499999525,52.38759999999106
302712,818,1543401947,5804407.29954,550702.522245,9.74501600000538,52.38756900001669
302713,818,1543401948,5804403.93396,550699.766375,9.744974999996918,52.38753899997721
302714,818,1543401949,5804398.79015,550697.164941,9.744935999993436,52.387493000040045
302715,818,1543401950,5804394.97616,550694.073372,9.744890000004602,52.38745900002469
302716,818,1543401951,5804391.05585,550691.459327,9.74485100000542,52.38742400000672
302717,818,1543401952,5804387.24186,550688.367747,9.744804999992205,52.387389999958415
302718,818,1543401953,5804382.97947,550684.94047,9.74475399999982,52.38735200002822
302719,818,1543401954,5804377.82515,550681.318184,9.744700000005734,52.38730600002774
302720,818,1543401955,5804372.32804,550676.814609,9.74463300000747,52.38725700002248
302721,818,1543401956,5804366.72391,550672.720499,9.744571999993047,52.38720700001645
302722,818,1543401957,5804362.44471,550667.659868,9.744497000004024,52.387169000015575
302723,818,1543401958,5804357.2925,550664.241714,9.744446000003084,52.3871229999741
302724,818,1543401959,5804351.80311,550660.48671,9.744390000001154,52.38707399996119
302725,818,1543401960,5804346.64461,550656.456042,9.744330000007178,52.387027999995
302726,818,1543401961,5804341.93592,550652.897175,9.74427699999976,52.38698599996653
302727,818,1543401962,5804336.75432,550646.620655,9.744183999996883,52.38694000002208
302728,818,1543401963,5804333.26984,550643.117239,9.744131999992888,52.386908999964206
302729,818,1543401964,5804329.9092,550640.837677,9.744097999998647,52.38687899996686
302730,818,1543401965,5804326.87595,550637.942177,9.744055000001334,52.38685200003003
302731,818,1543401966,5804323.52511,550636.615389,9.744034999998645,52.38682199999732
302732,818,1543401967,5804319.63214,550636.655437,9.744034999995426,52.38678700002352
302733,818,1543401968,5804315.86299,550637.919348,9.74405300000638,52.38675299995979
302734,818,1543401969,5804312.87945,550639.855809,9.744081000001144,52.38672600001832
302735,818,1543401970,5804308.23029,550642.081662,9.74411300000187,52.386684000035686
302736,818,1543401971,5804304.47725,550644.910868,9.744153999995923,52.38665000000501
302737,818,1543401972,5804300.2758,550647.404376,9.744189999995974,52.38661199998198
302738,818,1543401973,5804296.08556,550650.986787,9.744241999997184,52.38657399999425
302739,818,1543401974,5804291.87921,550653.003911,9.744271000001993,52.3865359999649
302740,818,1543401975,5804285.91003,550656.672704,9.744324000005513,52.386481999978855
302741,818,1543401976,5804278.71875,550660.49021,9.74437899999627,52.38641700001141
302742,818,1543401977,5804271.97728,550664.779544,9.744440999999,52.38635599997585
302743,818,1543401978,5804266.11654,550668.174994,9.744489999998782,52.3863030000403
302744,818,1543401979,5804258.92666,550672.128646,9.744547000004207,52.38623799998167
302745,818,1543401980,5804252.18941,550676.826353,9.744615000003185,52.38617699999921
302746,818,1543401981,5804245.00445,550681.256426,9.744679000001524,52.38611200001264
302747,818,1543401982,5804237.8237,550686.094854,9.744749000005823,52.38604700003773
302748,818,1543401983,5804230.29174,550689.235304,9.744793999993432,52.38597899996997
302749,818,1543401984,5804223.5482,550693.320547,9.744853000002593,52.38591800000285
302750,818,1543401985,5804217.57624,550696.717209,9.744902000004911,52.38586399996002
302751,818,1543401986,5804211.27061,550700.117315,9.74495099999463,52.3858070000159
302752,818,1543401987,5804205.40989,550703.512848,9.745000000002667,52.38575400004071
302753,818,1543401988,5804200.33477,550707.580943,9.745059000002028,52.38570799999801
302754,818,1543401989,5804196.58948,550711.158893,9.74511100000429,52.38567399996755
302755,818,1543401990,5804192.72666,550714.125475,9.745153999994374,52.38563899998901
302756,818,1543401991,5804191.53751,550717.472904,9.745202999994644,52.38562799996094
302757,818,1543401992,5804191.12767,550720.88037,9.745253000001815,52.38562400004152
302758,818,1543401993,5804192.05045,550724.069909,9.74529999999635,52.38563200001763
302759,818,1543401994,5804193.74902,550726.979193,9.745342999993586,52.38564699998437
302760,818,1543401995,5804195.88479,550729.135257,9.745374999997088,52.38566599997294
302761,818,1543401996,5804199.68127,550730.525491,9.745395999993775,52.385700000033225
302762,818,1543401997,5804203.15037,550732.53168,9.745426000003528,52.385731000004114
302763,818,1543401998,5804205.73246,550734.819266,9.74545999999824,52.38575400002428
302764,818,1543401999,5804208.30613,550736.290161,9.745481999994723,52.385777000015125
302765,818,1543402000,5804211.6633,550738.229431,9.745510999997489,52.38580699995764
