gid,trip_id,unixtime,north_utm,east_utm,longitude,latitude,tile_lat_idx,tile_lon_idx
528924,37,1520698512,5804456.33317,550559.701268,9.742925000000248,52.38802299997221,242,124
528925,37,1520698516,5804454.21076,550558.838275,9.742912000006154,52.38800400002979,244,123
528926,37,1520698518,5804452.98306,550558.442518,9.742905999994184,52.387993000033134,245,122
528927,37,1520698520,5804450.88581,550560.029469,9.74292900000266,52.38797400003751,247,124
528928,37,1520698521,5804448.78436,550561.208096,9.742945999995433,52.38795499998791,249,125
528929,37,1520698522,5804447.0187,550562.587459,9.7429659999982,52.38793900001869,251,127
528930,37,1520698523,5804439.93787,550566.335512,9.74302000000442,52.38787500000129,258,130
528931,37,1520698524,5804435.62725,550569.034192,9.743059000000926,52.38783599997926,263,133
528932,37,1520698525,5804428.54783,550572.918371,9.743115000004352,52.387772000021215,270,137
528933,37,1520698526,5804421.79929,550576.526914,9.743166999999485,52.387710999979,276,140
528934,37,1520698527,5804414.60865,550580.412257,9.743222999999544,52.387646000037954,284,144
528935,37,1520698528,5804409.96995,550583.658829,9.743270000001027,52.38760400002186,288,147
528936,37,1520698529,5804404.00071,550587.327453,9.74332300000454,52.38754999996124,294,151
528937,37,1520698530,5804397.2333,550589.098554,9.74334799999713,52.38748899996583,301,153
528938,37,1520698531,5804392.27002,550593.233288,9.743407999999384,52.38744399998622,306,157
528939,37,1520698532,5804387.63203,550596.547941,9.743455999996916,52.387401999988,311,160
528940,37,1520698533,5804384.64637,550598.280185,9.743480999994391,52.38737500000194,314,162
528941,37,1520698534,5804382.11332,550600.756463,9.743517000005136,52.38735200003711,316,164
528942,37,1520698535,5804380.00768,550601.526793,9.74352799999516,52.38733299996991,319,165
528943,37,1520698538,5804378.68065,550602.28912,9.743538999998188,52.387321000039314,320,166
528944,37,1520698539,5804375.80481,550603.884117,9.74356199999606,52.38729499995881,323,167
528945,37,1520698540,5804372.37634,550605.825109,9.74358999999316,52.38726399996904,326,169
528946,37,1520698541,5804369.84399,550608.369452,9.743627000001952,52.387240999972704,329,172
528947,37,1520698542,5804364.87023,550611.483399,9.743671999994508,52.3871959999975,334,175
528948,37,1520698543,5804360.22036,550613.641148,9.74370300000263,52.38715400003898,338,177
528949,37,1520698544,5804355.14237,550617.436804,9.743758000001195,52.38710800002799,344,180
528950,37,1520698545,5804348.38337,550620.024628,9.743794999997966,52.38704700003685,350,183
